Timestamp,"In 2023, how much money did you typically receive per hour of time spent on freelance mapmaking work?",,Do you feel that you are usually paid fairly for your time when doing freelance mapping?,"In 2023, how much did you depend on your freelance cartography income?","In 2023, what percentage of your personal income came from freelance mapping work?","If you charge clients a different rate for different types of freelance work, could you describe those differences?",List any freelance platforms you've used to get projects within the last year,List any software you've purchased to support your freelance mapmaking business,List any free/open-source software you use to support your freelance mapmaking business,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,"We'd love to hear any additional thoughts you may have about freelance rates, business practices, or anything that you believe would be valuable for this community!"
3/7/2024 20:05:16,100,,4,5,100,,,"Avenza MAPublisher, Adobe Creative Cloud, FME, Astute Graphics",QGIS,No,Female,Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,I raised my rates,Annually,
3/8/2024 9:51:13,45,,5,5,100,"My rate will change depending on whether the oragnisation is non-profit or the lenght of the project. this pass year, i have charged everyone the same rate",none,"Adobe Creative Cloud, ArcGIS",Google Earth,No,Female,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,know your worth
3/11/2024 11:18:38,50,,3,5,100,Size and complexity,,Affinity,"QGIS, Google Earth, Blender",Yes,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,Know my worth,Every 6 months,
3/7/2024 21:43:26,55,,3,5,85,"I try to charge all my clients the same hourly rate, but sometimes their offer determines the price. Projects that will go on for more than a few months sometimes end up offering less money but I take them on because sometimes having steady lower-paying work is better than having no work. ",LinkedIn,"Avenza Geographic Imager, Adobe Creative Cloud, Eduard, ArcGIS, Avenza MAPublisher, Microsoft Office, Natural Scene Designer, Parallels","QGIS, Google Earth",No,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,"I used it for guidance when I decided to raise my rates most recently, and used it when researching numbers to support my “ball park range” for negotiating in a job interview.",Annually,
3/10/2024 22:33:18,60,,4,5,95,,,"Adobe Creative Cloud, ArcGIS",Google Earth,No,Male,Master's degree in Earth and Environmental Sciences,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 4:16:50,65,,4,5,100,"I specialize in historical maps, which includes commissions for everyone from graduate students and contingent faculty to big museums. For the latter I charge my full hourly rate of $65/hr. I give steep discounts to graduate students and contingent faculty if they are paying out of pocket, which usually equates to $30/hr.",,"ArcGIS, Adobe Creative Cloud, Microsoft Office","QGIS, Inkscape, Blender",No,Male,"Other professional certification in cartography/GIS, PhD in Historical Geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I raised my hourly rate as a result.,Every 2 years,
3/8/2024 12:20:10,95,,4,5,100,"I tend to charge a fixed fee for certain projects that are similar to one another so as I become more efficient at completing them I'm still making the same amount of money and not losing money by billing hourly as I complete them faster. But the fixed fees projects are based on my hourly rate and how long I estimate it will take. The main difference in my billing rate is by client, rather than by project. Longstanding clients I tend to bill slightly less per hour than new clients.",,"Adobe Creative Cloud, ArcGIS, Microsoft Office",,No,Male,"Other professional certification in cartography/GIS, Master's in geosciences, so slightly map-related",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"The first survey empowered me to raise my rates as I was below the average, and then as a result of reading the commentary associated with the survey I've also continued to raise my rates over time.",Annually,"Mainly would say that people should bill what they feel they are worth, and use the survey as a guide to make sure they are billing enough (seems like very few people bill ""too much""). Also recommend billing fixed fees for projects where possible so you're billing what the project is worth, not the amount of time you took working on. Sometimes you're really efficient and shouldn't penalize yourself by billing less hours than it would typically take. Also billing fixed fee can allow you to be more creative and take risks, or learn a new approach without worrying about if you're billing too many hours to the client."
3/11/2024 17:33:36,95,,4,5,100,It's a sliding scale. Mining & petroleum companies get charged $150/hour; General clients $95/hour; and Social-Environment Non-profits $75/hour. ,,"Adobe Creative Cloud, ArcGIS",,Yes,Male,"Other professional certification in cartography/GIS, BSc. Geology",Expert (equivalent to 20+ years of full-time mapmaking work),,,Every 2 years,Do what you think is right.
3/11/2024 14:59:03,120,,4,5,33,"My rate for general web development work, which includes virtually all my mapping work, is $120/hr. For friends and non-profits, or for simple Wordpress work, I'll charge between $60 & $75/hr but this is not map-related.",,"Adobe Creative Cloud, I pay for JetBrains software, integrated development environments (IDEs).","QGIS, Blender",No,Male,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,
4/26/2024 14:36:26,145,,4,5,75,Difference between a longer contract and a sorter/ad-hoc contract. Longer has lower price.,,"Adobe Creative Cloud, ArcGIS, Microsoft Office",Google Earth,No,Male,"Other professional certification in cartography/GIS, BTEC in Cartography (rough equivalent, or somewhere between an associate's or bachelor's)",Expert (equivalent to 20+ years of full-time mapmaking work),No,,Every 2 years,There is a lot of difference between my consulting rates and my artistic rates. Worthy of separate survey responses. 
3/18/2024 8:53:54,,,4,5,3200,Each order is calculated separately,none,"Microsoft Office, Coral Draw",QGIS,No,Male,Ph.D. cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),No,,Every 2 years,
8/9/2024 23:48:41,,,4,5,50,"I charge a standard rate for grayscale maps for academic monographs, and more for maps requiring more artistry.",,Adobe Creative Cloud,Google Earth,No,Male,PhD in Medieval Studies with a focus in cartographic history,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
3/19/2024 11:21:10,75,,5,5,50,,,,GIMP,No,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/7/2024 16:38:49,125,,5,5,99,"Informal nonprofit and longstanding client discounts: I always put up my rates for new projects first, and if I think a project is doing good in the world but budget constrained I'm willing to quote a significantly lower hourly rate.",,SQLPro,"QGIS, Google Earth",No,Male,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 8:21:42,,,5,5,30000,"I charge based on hours, acres and how many layers to work on.",Directly contacted by the client.,NA,"QGIS, Google Earth, Blender",Yes,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS, Drone Image Processing, Lidar data processing.",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,NA,Annually,"Please let me know if you have any mapping project, I work at very low cost."
3/11/2024 11:26:58,,,5,5,100,Retainer clients get a better rate than clients who don't have a retainer.,,"Adobe Creative Cloud, ArcGIS, Microsoft Office, Avenza MAPublisher","Google Earth, Blender",No,Male,Bachelor’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
3/19/2024 8:43:12,100,75,4,5,50,,,Adobe Creative Cloud,"QGIS, Blender",No,Non-binary,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,
3/12/2024 22:54:55,,,,,,,,,,,,,,,,,
4/5/2024 8:08:07,,,,,,,,,,,,,,I didn't see the previous survey results,,,
