Timestamp,"In 2023, how much money did you typically receive per hour of time spent on freelance mapmaking work?",,Do you feel that you are usually paid fairly for your time when doing freelance mapping?,"In 2023, how much did you depend on your freelance cartography income?","In 2023, what percentage of your personal income came from freelance mapping work?","If you charge clients a different rate for different types of freelance work, could you describe those differences?",List any freelance platforms you've used to get projects within the last year,List any software you've purchased to support your freelance mapmaking business,List any free/open-source software you use to support your freelance mapmaking business,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,"We'd love to hear any additional thoughts you may have about freelance rates, business practices, or anything that you believe would be valuable for this community!"
3/9/2024 6:58:08,75,,3,2,25,"Generally, we charge $100 an hour, but we do have set prices for certain types of work. We do a map set that includes an aerial, topo, and location map for $200 (good for realtors) and survey plotting (COGO) for $150. We also do baseline documentation reports (BDRs) for between $1,800-4,000+ depending on the complexity of the property and BDR. ",,"Microsoft Office, ArcGIS","QGIS, GIMP, Google Earth",Yes,Female,"Bachelor’s degree in cartography/GIS/geography, Graduate certificate in online mapping",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I've used the information there to help determine a (hopefully) reasonable hourly rate.,Every 2 years,Thank you for taking the time to do this once again!
3/12/2024 7:59:20,75,,3,2,20,charge/allocate more money/time for design and some project management tasks,,"Adobe Creative Cloud, Eduard, Avenza MAPublisher","QGIS, Google Earth, Blender",No,Female,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/11/2024 15:19:32,100,,4,2,60,"I adjust it to my client's budget. If I know the funding isn't an issue, I charge my regular rate but if they don't have any or little funding available, I sometimes do it for free or little money and they usually come back with more work for me when they have funding at a later stage.  Also if they want me to give workshops, I charge more as an hour of my time instructing involves preparation and instruction is just generally more expensive in general. ",None.  Just word of mouth. ,"Adobe Creative Cloud, ArcGIS",Google Earth,No,Female,"Master’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,This is a great survey.  Thanks for doing this. I always have a great time deciding on my rate as I don't want to be unfair and is also hard to charge for something I love doing! So knowing what others charge makes me feel better and reminds me that it's normal to charge certain rates for professional services. 
3/8/2024 1:15:12,24,,2,2,10,,,,"QGIS, Inkscape, GIMP",No,Male,Ph.D. cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/12/2024 0:27:50,100,,2,2,1,,,ArcGIS,"QGIS, Inkscape, Google Earth, Blender",No,Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 0:06:45,,,2,2,29,"Just want cost minimum, not pay as professional",Nobody success,"ArcGIS, Microsoft Office, ","QGIS, Google Earth",No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,Because juts knowledge for me,Annually,"I need job freelance, but need connection. I hope get a job"
3/8/2024 15:28:43,20,,3,2,10,"No, I don't. Same hourly rate for any type of work",Don't use any marketplace websites,Only open source:),"QGIS, Inkscape, GIMP, Blender",No,Male,Other professional certification in cartography/GIS,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
3/12/2024 16:01:27,65,,3,2,10,NA,Existing client,"ArcGIS, Adobe Creative Cloud","Google Earth, Blender",Yes,Male,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 5:53:39,,,3,2,30,My hourly rate ranges from 15 to 25 EUR depending on the type of client. There are clients who can accept higher rates and others who cannot.,None,"Adobe Creative Cloud, ","QGIS, Google Earth, Blender",No,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
3/7/2024 18:09:30,65,,4,2,20,,,"ArcGIS, Microsoft Office",Google Earth,Yes,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Annually,
3/11/2024 7:16:51,90,,4,2,10,Developer work for online maps I charge slightly more. Working with print maps is catching up though.,,"Adobe Creative Cloud, Avenza MAPublisher",QGIS,No,Male,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,I'd love to see results broken down into geographic regions and types of freelance work.
3/27/2024 13:04:08,125,,4,2,15,"The more unknowns there are in a mapping project, the more I charge, generally as a flat fee with options for overages at an hourly rate. ",,"Microsoft Office, Eduard, Adobe Creative Cloud, Natural Scene Designer","QGIS, Google Earth",No,Male,"Bachelor’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,It made me realize that I should be charging more for my work. ,Annually,
3/10/2024 13:50:02,150,,4,2,8,I charge $150/hr across the board. I use that hourly rate to offer flat-fee contracts as well. For repeat clients I often scrape a bit off the total for flat-fee projects.,,,"QGIS, Inkscape, GIMP",No,Male,BS Urban Planning / Master's Landscape Architecture,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/21/2024 9:16:49,150,,5,2,10,N/A,I do not use such platforms,"ArcGIS, Microsoft Office","QGIS, Inkscape, GIMP",No,Male,None specifically related to cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
7/19/2024 14:37:18,,,,2,40,,,,QGIS,No,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,,,
5/16/2024 10:00:11,40,75,4,2,15,,,Licensed ArcGIS through client,,No,Non-binary,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,"It helped me calibrate how much I could reasonably ask for when pitching a project. I still think I low-balled myself, due to the type of client and project, but at least I was aware of what seemed fair compared to others in the industry.",Annually,I would like to understand in more detail why someone would charge more or less an hour (on average) for a project. What makes a rate go up versus down?
3/11/2024 0:22:38,45,,2,3,5,"Community and indigenous groups pay less, local government and central funded project pay more",,"Microsoft Office, Adobe Creative Cloud, ArcGIS",Blender,No,Female,Learnt on the job,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 6 months,
3/11/2024 12:17:15,35,,3,3,45,"I am wondering this question moving forward, how should I charge for different types of maps...Currently as I am just starting out, I offer an estimate of the entire project based on a $35 per hour rate ( I intend on bumping up soon). These have been for custom maps designed mainly as illustrated / in Adobe, but I am hoping to create more GIS specific maps with QGis. ",Word of mouth/ Instagram,"Adobe Creative Cloud, ArcGIS, Microsoft Office","QGIS, Google Earth, Blender",No,Female,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 6 months,"I would love to just stay connected with other freelancers! I am starting out and haven't seen many freelance cartographers that are similar to what I do, and am unsure about how to structure my business model. I base a lot off what graphic designers do, but I'd love to learn about how more GIS-driven folk build their platform and structure their business. "
3/11/2024 11:54:38,,,3,3,,,Upwork,"Avenza MAPublisher, ArcGIS",Google Earth,No,Female,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Every 2 years,
3/7/2024 23:46:09,100,,4,3,10,I've charged less for GIS work when I'm not being asked to the cartography. I also charge quite a bit less for the maps I make nonprofit or international organizations who I want to support.,,"Adobe Creative Cloud, Eduard, Avenza MAPublisher","QGIS, Google Earth",Yes,Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,Previous surveys have made me feel comfortable raising my rates and not second guessing myself as much when providing quotes to clients.,Every 2 years,
3/9/2024 0:20:38,100,,5,3,50,"Yes, anything requiring custom coding is charged higher",,ArcGIS,"QGIS, Blender",No,Female,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
4/1/2024 11:55:32,0.5,,1,3,5,"Yes, the difference is mainly from the aerial extent of the map. If the map has an extent of 5m from end to end then the cost  will be less compared to a map of 50m from one end to the other.

Moreso, the other factors I consider is on the technicality of the map to be produces, if the map tend to be difficult to produce I would charge a higher fee and lesser of otherwise.

The client willingness to agree with my price is another factor I consider since I wouldn't want to lose out to my competitors.","I have not had any freelance job online, rather I've drawn lots of maps for my clients at my office.","ArcGIS, Microsoft Office",Google Earth,No,Male,Professional certification in Geology ,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Every 6 months,"I want this freelance community to link up with map makers who are under privileged in this field, create avenues to incorporate them into the mainstream mapping profession through interactive projects."
5/13/2024 18:13:18,300,,1,3,100,,"Upwork, Fiverr",Microsoft Office,"QGIS, Google Earth",Yes,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Every 6 months,
3/11/2024 15:59:18,,,1,3,20000,100,None,Adobe Creative Cloud,"QGIS, Inkscape, GIMP",No,Male,Master Landscape Architecture,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"Overall, there is very little work available in this industry. I have moved to primarily to development work and away from cartography to make a living.  There is also a significant amount of competition, leading to a more unfriendly community. In the sciences, many potential clients merely try to do the cartography themselves and dismiss the capabilities of a visualization expert.  Looking back at a fifteen year career, I would never recommend cartography as a viable job for anyone"
3/8/2024 14:49:28,50,,2,3,80,,Fiverr,ArcGIS,"QGIS, Google Earth, Blender",Yes,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,I will love to know how we can get clients who are interested in map easily.
3/7/2024 17:35:20,60,,3,3,60,"Generally I am exclusively approached by clients who want finished print layouts or (sometimes) finished map-heavy web apps. I offer special rates to not-for-profit clients who seem down on their luck, chiefly rural museums. Otherwise I can't think of any distinctions I make on my end when it comes to different types of work.",,,"QGIS, Inkscape, GIMP, Blender",No,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,"I would suggest that it contributed to me raising my rates, although it wasn't the only factor.",Annually,"The majority of my business income is retail income: I directly sell and ship a few self-published maps, which are stored in enormous quantities in my basement. Freelance projects help keep me solvent but are not my primary moneymaker. I also travel to multiple sales / tradeshow events every month. I would be curious to know about other self-publishers' sales habits, and especially how much of the supply chain they've taken into their own hands (my margin is pretty high because I do everything myself after the commercial press ships 2,000 maps to my door - I've heard from others who rely on print-on-demand and fulfillment services, which sounds more effortless but less lucrative)."
3/7/2024 16:06:21,80,,3,3,10,Estimated budget based on other contacts,"Upwork, Personal network","Adobe Creative Cloud, ArcGIS, Phototiler",QGIS,No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,,
3/9/2024 7:46:49,,,3,3,,,Upwork,"ArcGIS, ","QGIS, Google Earth",,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,,
3/9/2024 2:14:15,62.5,,4,3,20,I'm always using the same rate. My clients mapping consciousness is not developed enough.,,"Microsoft Office, edraw","QGIS, Inkscape, GIMP",No,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,Thanks for the process
5/8/2024 8:53:30,300,2.602150538,5,3,60,,,"Adobe Creative Cloud, ArcGIS, Microsoft Office",Blender,No,Male,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,
3/7/2024 23:37:36,,62.5,2,3,,Flat rates,,,"QGIS, Inkscape, GIMP, Blender",No,Non-binary,"GISP certification, Other professional certification in cartography/GIS, ",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
