Timestamp,"In 2019, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2019, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2019, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2019, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,What city and country do you live in?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from the 2018 version of this survey influence your business practices or rates?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/17/2020 16:55:13,50,125,27,4,10,3,3,N/a,50,N/a,N/a,Yes,10,No,"Based on what my flat rate clients are paying me. One typically pays quite well, so when they raise their rate, I’ll up my hourly rate for most clients.",Female,"Nova Scotia, Canada","Bachelor’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,Thanks for holding the survey again!
2/17/2020 18:31:14,70,70,55,4,100,2,3,0,70,0,0,Yes,12,No,Local market,Female,Salt Lake City Utah,Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
2/18/2020 0:17:00,30,60,30,2,10,2,2,,30,,,No,,No,"Not sure, but thinking I should",Male,"Los Angeles, California, USA",Minor in GIS,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,"I started out making maps in an area where the pay was lower, and have never increased my rates. Now, I mainly make maps for 'fun' for some past clients, and charge a relatively lower fee just to make it worth the time."
2/18/2020 1:34:23,70,70,70,4,25,1,1,,70,70,70,No,,No,,Male,Norway,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,
2/18/2020 10:29:50,70,102,60,5,100,2,2,,70,70,,Yes,10,No,Raised it after seeing the results of this survey 2 years ago,Male,"Cambridge, NY",Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"I've been told my rates are still too low, even though I raised them in the past two years. According to one firm a GIS specialist in our region typically bills at $80-100/hr (I'm at $70). I did propose $80/hr to a new client, and may use that rate moving forward with new clients. It will probably be at least another year before I raise it that much for existing clients. Many projects have a fixed budget, so billing more per hour just means I have to get the work done in less time if I'm going to max out the budget either way."
2/18/2020 11:19:52,60,200,20,1,40,5,3,0,1000,100,200,No,50,No,Don’t know,Male,Uk,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,
2/18/2020 11:28:51,100,110,100,4,100,1,3,0,100,110,110,No,0,No,"Determined by how long a contract term is.  For example, a weekly rate is 85% of a short term hourly rate.",,US,none,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,We are all in this together; I'm successful because others publish blog posts or support Open Source software
2/18/2020 12:28:45,100,200,100,5,40,3,1,,100,,,Yes,20,Yes,Years of experience and value created by the speed in which I can get projects done now. ,Male,"Colorado, USA",Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"Thanks for doing this, it is helpful. "
2/18/2020 15:43:30,100,150,64,5,20,3,1,,100,,,Yes,20,No,Depends on the client and if they have deep pockets,Male,Washington DC area,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),No,
2/18/2020 17:14:32,125,,100,,100,1,3,0,,90,10,Yes,25,Yes,Based on what the courts are willing to pay,Female,"Dallas, TX",Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
2/18/2020 17:19:23,50,100,20,4,10,4,4,0,50,0,0,Yes,30,No,When a feeling that benchmarks have been met and more tools and techniques have been developed that provide a higher degree of service and more refined product,Male,39470,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,
2/18/2020 17:34:39,100,140,70,5,95,3,2,,100,,,No,0,No,"I haven't, and I've been freelancing for 6 years.",Male,"Minneapolis, MN",none,Expert (equivalent to 20+ years of full-time mapmaking work),No,
2/18/2020 17:36:36,93.5,160,35.5,4,46,4,3,0,93,0,0,No,0,No,I don't usually charge by the hour. I either try to come up with an amount or the client offers me an amount.,Female,"Petersburg, VA",I don't have any GIS skills. I am basically an illustrator.,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
2/19/2020 9:01:34,55,70,40,4,35,1,2,,50,,,Yes,20,No,Based on discussions with my clients,Male,"Athens, Greece",Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,
2/19/2020 9:13:56,10,70,5,5,50,5,1,,15,,,No,,Yes,,Female,"Saint Petersburg, Russia","Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,
2/19/2020 10:38:56,75,75,50,4,10,4,4,,75,,,,,No,,Female,Wisconsin,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, In progress: Ph.D. cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,
2/20/2020 0:47:38,100,120,70,5,50,2,3,,100,,,No,,No,Had not thought about it. Hmmmm. ,Female,"Napa, CA, US","Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography, Other professional certification in cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,Getting a lot of work in maps supporting Court cases this past year
2/20/2020 11:13:47,100,150,75,5,10,4,1,,,,,Yes,25,No,Try to increase every few years to match rate I'm charging for other consulting,Male,"Durham, NC",Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,
2/20/2020 11:19:04,75,100,50,4,3,5,4,75,50,,,Yes,25,No,,Male,"Redwood City, California.","Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Expert (equivalent to 20+ years of full-time mapmaking work),No,"It can be hard to determine hourly rates when you usually charge a flat rate fee for recurring work, mostly because the hardest work is often done once up front when setting up templates and styles that are reused frequently. After that, time spent on a new map project is often lower than what could be expected from a new one-off project, but I charge at a one-off rate most of the time regardless."
2/20/2020 11:39:05,60,125,40,2,85,5,3,60,60,,,Yes,10,No,When I can't make sense of how little I earn for how much I work. Working on it!,Female,"Texas, United States",,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"I'm starting to implement a project minimum (in $) to see if it helps my bottom line. Smaller jobs can eat up overhead and sometimes don't seem worth the time, unfortunately.

I'm bad about tracking hours spent per project when I charge flat fees, which is most of the time. Whereas I'm religious about tracking hours for billable revisions. Doing this for larger blocks of carto time as well would give me better data about my business. Thanks for the nudge and the survey!"
2/20/2020 12:53:34,40,40,40,5,1,1,5,,40,,,Yes,20,No,My rate is usually about 1.5x the hourly rate I make at my day job. ,Female,United States,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,"I have only taken on a couple projects in the last year and freelancing is nowhere near my main gig (<0.001% of my income). I’d like it to be, though!"
2/20/2020 12:59:36,60,80,40,4,65,2,2,,60,,,Yes,20,No,I adjust my rate to my life's financial needs,"Note: Female and Male are not genders, they are categories of sex. I'm Female-bodied and identify as a woman (my gender).",California,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,This is cool! Thanks for sharing.
2/20/2020 14:33:19,75,75,75,5,10,3,3,0,75,,,No,,No,,Male,Canada,,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,
2/20/2020 22:13:28,50,50,50,3,5,3,1,0,50,50,0,No,,No,,Male,"Madison, USA ",Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,
2/21/2020 16:21:47,75,100,,5,10,5,1,,,100,100,No,0,No,,Female,Chicago,Masters of Urban Planning,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
2/24/2020 8:30:27,20,40,10,3,5,5,5,,,200,800,No,0,No,,Male,"Sofia, Bulgaria",Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,Congratulations for this survey!
2/27/2020 8:53:34,40,40,40,4,1,1,3,,40,,,,,,,Male,,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,
2/27/2020 13:18:07,60,60,60,5,10,3,1,,60,,,No,,No,,Male,USA,,Experienced (equivalent to 5–10 years of full-time mapmaking work),,
2/29/2020 10:58:37,20,20,20,5,10,5,5,0,100,0,0,No,0,No,I will raise the rate if my workload becomes t0o heavy,Male,"Redwood City, California",,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,I charge a low fee per map to generate business by word-of-mouth referrals.
3/2/2020 10:11:42,15,70,5,2,10,4,2,13,30,,,Yes,10,No,I raise my prices arbitrarily when I determine I provide more value and have more experience/knowledge/tools.,Female,"Bozeman, MT",Working on my bachelor's degree in geography/GIS! ,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,
3/2/2020 10:56:28,40,40,13,4,43,4,3,40,,,,No,,No,,Male,"Eugene,OR",Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,
3/2/2020 11:25:50,140,140,140,3,50,1,3,140,140,140,140,No,0,No,0,Male,,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
3/2/2020 13:35:26,100,100,50,3,15,4,3,,80,,100,No,0,No,,Male,"New York, NY",Master's in Urban Planning,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,
3/2/2020 14:22:06,25,25,25,3,1,1,5,,,,,No,,No,,Male,USA ,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,
3/2/2020 22:36:55,140,300,120,5,90,2,2,,,,140,Yes,15,No,Whenever I think I can get away with it.,Male,"Melbourne, Australia",None. (Bachelor of software engineering),Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,
3/5/2020 10:26:02,35,75,20,3,40,4,3,,35,,,Yes,10,No,,Male,"Ouray, Colorado","Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Bachelor's degree in English",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,"80% of my freelance work is for NatGeo, and they generally determine what I'm paid per project and/or any ""raises"" that I have received"
3/5/2020 14:34:15,50,50,50,4,40,3,4,50,50,,,No,,No,I haven't given myself a raise in years but am thinking of doing so soon. I will charge what I think the market will support.,Female,"Belfast, Maine",Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,"One aspect of making money that I could def improve on is billing for all my hours. I have a habit of not starting the clock when I'm perusing the project or, basically, sharpening pencils. I'm also much happier when I'm not on the clock. It's kind of stressful. If I can, I prefer charging a flat fee for the entire project. This can be difficult to estimate, for example, when there are lots of change requests, which seems to be proportionally related to the number of cooks in the [client's] kitchen. I've been working on wording to anticipate that with some success."
3/6/2020 10:48:54,35,50,25,4,100,5,1,,,,,Yes,,No,,Male,"Dakar, Senegal",self-taught,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,
