"Timestamp","During the last 12 months, how much money did you typically receive per hour of time spent on freelance mapmaking work?","During the year prior to that (i.e., the time span between 12 and 24 months ago), how much money did you typically receive per hour of time spent on freelance mapmaking work?","How often do you feel you are paid fairly for your time when doing freelance mapping? Would you say:","In the last year, how much did you depend on your freelance cartography income? Would you say:","How many freelance cartography projects did you work on in the last year?","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Government and public sector organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Academic and public research institutions (e.g., universities, institutes)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Private research and consulting organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Conservation and environmental organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Museums, libraries, and cultural institutions]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Other nonprofits and community organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Publishers, authors, and media organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Design, marketing, and creative agencies (including other cartographers)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Engineering and technical services firms]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Resource extraction (mining, oil/gas, etc.)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Private individuals (personal commissions)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Other industries]","If you answered ""Other industries,"" what sorts of industries should we consider including in the list next time? ","Which is more typical for you: to charge your clients a flat rate, or an hourly rate? Would you say…","Which is more typical for you: to make static maps for your clients, or interactive/animated ones? Would you say…","Which of these best describes your gender identity?","Which map-related degrees or certifications do you hold, if any?","Which of these options best describes you level of mapmaking experience?","Have the published results of previous versions of this survey influenced your business practices or rates?","If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.","We'd love to hear any additional thoughts you may have about freelance rates or business practices, or if you have ideas for questions you feel we should ask next time."
"2026/04/22 12:00:12 AM EST","15","15","Some of the time","I did not depend on it at all; mapping provided surplus income","1","None","None","None","None","None","None","None","None","None","None","1","None","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","Ph.D. cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","",""
"2026/04/22 3:31:37 AM EST","40","40","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","11","None","2–3","None","None","6+","None","None","None","None","None","1","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","Yes","I increased my rates after reading the 2023 survey",""
"2026/04/22 4:09:41 AM EST","80","75","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","25","None","None","None","2–3","1","","6+","4–5","None","None","1","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","",""
"2026/04/22 6:45:08 AM EST","80","80","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","31","6+","","","","","4–5","6+","1","","","","4–5","destination marketing organizations, real estate company","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Woman","GIS or cartography certificate","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","raised my rates",""
"2026/04/22 7:24:00 AM EST","95","80","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","","2–3","None","None","4–5","None","2–3","2–3","1","None","None","1","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I am about equally likely to make either static or interactice/animated maps.","Man","Bachelor’s degree in cartography/GIS/geography;GIS or cartography certificate;Other professional certification in cartography/GIS;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Expert (equivalent to 20+ years of full-time mapmaking work)","Yes","While typically operating in a vacuum, it's great to see where my rates fall amongst peers. For my part, freelance rates run on a sliding scale where similarly minded, value-aligned non-profits having a worthy cause typically receive a reduced hourly rate and extractive industy clients are charged double (and in some cases triple). Thank you for putting this together and sharing!","Maybe add a well conceiveed question concerning my sliding rate scale for like-minded NGOs versus extractive industry clients?"
"2026/04/22 1:25:51 PM EST","20","","Rarely","I did not depend on it at all; mapping provided surplus income","2","None","1","None","None","None","None","1","None","None","None","None","None","","I always, or almost always, charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Woman","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography","Expert (equivalent to 20+ years of full-time mapmaking work)","No","",""
"2026/04/22 1:26:19 PM EST","45","","Most or all of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","2","None","2–3","None","None","None","None","None","None","None","None","None","None","","I always, or almost always, charge a flat rate","I usually make interactive/animated maps, though I occasionally make static ones","Man","Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","Yes","It’s helpful to know the ‘going rate’ for freelance GIS work.",""
"2026/04/22 11:15:05 PM EST","13","","Some of the time","I did not depend on it at all; mapping provided surplus income","2","None","1","None","None","None","None","None","None","None","None","1","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","","Experienced (equivalent to 5–10 years of full-time mapmaking work)","No","",""
"2026/04/27 1:00:27 PM EST","50","50","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","30","6+","None","4–5","None","None","None","None","None","None","None","None","2–3","Law Firm","I always, or almost always, charge an hourly rate","I always, or almost always, make static maps","Woman","Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","Makes me more confident when negotiating rates",""
"2026/04/28 5:08:12 AM EST","60","60","Most or all of the time","I did not depend on it at all; mapping provided surplus income","6","None","None","None","None","None","2–3","4–5","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","Master’s degree in cartography/GIS/geography","Experienced (equivalent to 5–10 years of full-time mapmaking work)","No","",""
"2026/04/28 11:12:46 AM EST","65","65","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","4","None","None","None","None","1","None","2–3","None","None","None","None","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","It has helped me set my hourly rate.",""
"2026/04/29 12:26:55 AM EST","110","100","Most or all of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","12","None","1","None","1","1","","1","1","","None","1","None","","I always, or almost always, charge an hourly rate","I always, or almost always, make static maps","Woman","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography;GISP certification","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/04/29 3:12:40 PM EST","95","","Most or all of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","3","None","None","2–3","None","None","None","None","None","None","None","None","","","I always, or almost always, charge an hourly rate","I always, or almost always, make interactie/animated maps","Man","Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/05/01 10:31:07 AM EST","75","","Most or all of the time","I did not depend on it at all; mapping provided surplus income","8","None","None","6+","None","None","None","None","None","None","None","1","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I always, or almost always, make static maps","Man","Master’s degree in cartography/GIS/geography;GIS or cartography certificate","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","Yes","They helped me set my base rates","I'd love to tease out when/how people might set different rates for different kinds of projects or different kinds of clients.  For instance, I have done most of my work for a client who runs a consultancy that draws their own work from fairly high-dollar clients, so they can and do handle a higher rate than I charge nonprofit clients or private individuals."
"2026/05/01 1:06:04 PM EST","55","","Most or all of the time","I did not depend on it at all; mapping provided surplus income","2","1","None","1","None","None","None","None","None","None","None","None","","","I am about equally likely to charge an hourly or a flat rate","I always, or almost always, make static maps","Man","Master’s degree in cartography/GIS/geography","Experienced (equivalent to 5–10 years of full-time mapmaking work)","Yes","",""
"2026/05/01 8:54:01 PM EST","","","","","","","","","","","","","","","","","","","","","","","","No","","I am now a retired cartographer, artist and publisher. "
"2026/05/02 10:56:09 PM EST","75","75","Some of the time","I did not depend on it at all; mapping provided surplus income","4","None","None","None","1","1","2–3","None","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I am about equally likely to make either static or interactice/animated maps.","Man","Master’s degree in cartography/GIS/geography","Experienced (equivalent to 5–10 years of full-time mapmaking work)","Yes","",""
"2026/05/03 7:24:24 AM EST","50","45","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","10","2–3","4–5","1","None","1","2–3","4–5","6+","None","None","6+","None","N/A","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Non-binary","Bachelor’s degree in cartography/GIS/geography;GIS or cartography certificate","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","I haven't seen any previous survey results","N/A","I believe it would be helpful to ask more about the challenges freelancers face in negotiating rates and how they manage client expectations. Understanding the balance between quality and affordability is critical in our field.

Oh and by the way, if you're still looking for respondents, surveyswap.io really helped me when I was running a survey myself last year. You fill in surveys from others and get free respondents in return. Perhaps it's also helpful to you. Anyway, good luck with the study!"
"2026/05/04 6:30:56 PM EST","","","Rarely","I did not depend on it at all; mapping provided surplus income","7","None","4–5","None","None","None","None","2–3","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Man","Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","Before these surveys came out, I had no idea how others were navigating freelancing and was basically making it up as I went along. Now I'm just making a bit less up as I go along. ;) ","Keep at it! The Survey is a great resource."
"2026/05/04 7:55:07 PM EST","35","35","Rarely","I did not depend on it at all; mapping provided surplus income","","","1","","","","","2–3","","","","1","","","I am about equally likely to charge an hourly or a flat rate","I always, or almost always, make static maps","Woman","Master’s degree in cartography/GIS/geography","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/05 11:38:41 AM EST","50","50","Rarely","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","3","None","None","None","None","None","None","2–3","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Non-binary","GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/06 2:17:16 AM EST","30","45","Never","I depended on it completely; freelance mapping was necessary for my survival","12","None","None","None","None","","","6+","1","","","","","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography","Expert (equivalent to 20+ years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/06 9:43:28 AM EST","115","115","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","5","2–3","None","None","None","None","None","None","None","None","None","None","2–3","Transportation & Corporate C-Level map integration","I always, or almost always, charge a flat rate","I usually make interactive/animated maps, though I occasionally make static ones","Man","GIS or cartography certificate;Other professional certification in cartography/GIS","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/08 5:39:43 PM EST","80","","Most or all of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","6","","4–5","","","","","1","","","","","1","Education/curriculum development ","I usually charge an hourly rate, though I occasionally charge a flat rate","I always, or almost always, make static maps","Woman","GIS or cartography certificate","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","Yes","Helped me set rates by knowing averages in the field","I have different rates for certain clients - less for non-profits, more for rush job for a corporate client"
"2026/05/19 8:00:48 PM EST","60","60","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","15","2–3","2–3","None","2–3","1","None","2–3","None","None","None","1","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Man","Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","No","","I'd like to know more about the spread between people's smallest-dollar contracts and largest-dollar contracts. I find that my median dollar amount generally goes up as I stay in business longer."
"2026/05/19 9:25:45 PM EST","60","50","Rarely","I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income","8","None","None","None","2–3","1","","2–3","","","","1","","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Woman","","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/05/20 8:31:14 AM EST","75","70","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","13","1","2–3","2–3","2–3","None","1","None","None","1","None","1","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I am about equally likely to make either static or interactice/animated maps.","Woman","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","",""
"2026/05/21 12:33:52 PM EST","80","80","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","15","2–3","2–3","2–3","2–3","None","4–5","None","None","None","None","None","None","","I always, or almost always, charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/24 6:28:32 AM EST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/05/27 11:38:08 AM EST","100","","Most or all of the time","I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income","3","","1","","1","","","1","","","","","","","I usually charge an hourly rate, though I occasionally charge a flat rate","I always, or almost always, make static maps","Non-binary","Master’s degree in cartography/GIS/geography;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/28 5:46:32 PM EST","40","30","Rarely","I did not depend on it at all; mapping provided surplus income","7","1","","","4–5","","","","","","","1","","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Man","GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","Yes","It gave me the confidence to start charging a higher rate",""
"2026/05/31 7:24:09 PM EST","100","75","Rarely","I did not depend on it at all; mapping provided surplus income","12","None","None","None","None","None","None","1","2–3","","","2–3","2–3","Golf courses","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography;GISP certification;GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/31 7:48:05 PM EST","25.00","25.00","Some of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","5","2–3","","","","","2–3","","","","","1","","","I always, or almost always, charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","Bachelor’s degree in cartography/GIS/geography;Other professional certification in cartography/GIS","Expert (equivalent to 20+ years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/05/31 7:55:20 PM EST","115","85","Some of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","4","","","","2–3","","1","","","1","","","","","I usually charge an hourly rate, though I occasionally charge a flat rate","I am about equally likely to make either static or interactice/animated maps.","Man","Master’s degree in cartography/GIS/geography;GISP certification","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","","I filled this out based on my work I’d consider cartography. I did not include the majority of my work which is more GIS oriented, even if some components included making maps, web maps, dashboards, etc. GIS work (for certain industries especially) seems to get a higher rate. "
"2026/05/31 8:53:18 PM EST","150","150","Most or all of the time","I did not depend on it at all; mapping provided surplus income","5","","2–3","","","1","","1","","","","","","","I am about equally likely to charge an hourly or a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","","Sometimes I quote a flat rate, but charge hourly overages for heavy revisions or scope changes. Maybe an option to indicate that?"
"2026/05/31 10:39:12 PM EST","150","100","Most or all of the time","I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income","50","None","","1","","","","","","1","","","6+","energy, geoglogy, outdoors, ","I usually charge an hourly rate, though I occasionally charge a flat rate","I am about equally likely to make either static or interactice/animated maps.","Man","Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Expert (equivalent to 20+ years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/06/01 3:08:37 AM EST","","75","Most or all of the time","I did not depend on it at all; mapping provided surplus income","1","None","1","None","None","None","None","1","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Woman","Master’s degree in cartography/GIS/geography;GIS or cartography certificate","Experienced (equivalent to 5–10 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/06/01 8:05:11 AM EST","25","25","Some of the time","I did not depend on it at all; mapping provided surplus income","1","None","None","None","None","None","1","None","None","None","None","None","None","","I always, or almost always, charge an hourly rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography;GISP certification","Expert (equivalent to 20+ years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/06/01 8:22:18 AM EST","35.00","35.00","Some of the time","I did not depend on it at all; mapping provided surplus income","5","2–3","None","None","1","None","1","2–3","None","1","None","None","None","","I always, or almost always, charge a flat rate","I am about equally likely to make either static or interactice/animated maps.","Woman","GISP certification;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","","I am lucky enough to be able to set my hourly and flat rates low as I do not have to rely on my freelancing as a primary source of income.  "
"2026/06/01 8:54:56 AM EST","","65.00","Some of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","20","None","1","None","6+","None","","4–5","2–3","None","None","None","None","","I am about equally likely to charge an hourly or a flat rate","I always, or almost always, make static maps","Woman","GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Expert (equivalent to 20+ years of full-time mapmaking work)","Yes","While markets vary, knowing what other people charge per hour is very helpful.",""
"2026/06/01 11:56:10 AM EST","","","Rarely","I did not depend on it at all; mapping provided surplus income","2","None","None","None","None","None","1","1","None","None","None","None","None","","","I am about equally likely to make either static or interactice/animated maps.","Man","Computer Science","","I haven't seen any previous survey results","","Most map making an adjunct to mesh networking research"
"2026/06/01 7:10:14 PM EST","120","120","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","5","None","None","2–3","None","2–3","1","None","None","None","None","None","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I usually make interactive/animated maps, though I occasionally make static ones","Man","","Experienced (equivalent to 5–10 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/06/02 10:23:24 AM EST","40","140","Some of the time","I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income","15","4–5","None","None","None","None","1","None","1","None","None","4–5","","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography","Expert (equivalent to 20+ years of full-time mapmaking work)","No","","Perhaps include a section for free work, or donated, such as citizen advocacy, city planning stakeholder, something for a cause/charity - otherwise that pulls down the hourly rate value."
"2026/06/04 12:26:31 PM EST","45","40","Some of the time","I did not depend on it at all; mapping provided surplus income","4","None","2–3","None","None","1","None","None","None","None","None","None","None","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Woman","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography;GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Experienced (equivalent to 5–10 years of full-time mapmaking work)","No","",""
