Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/17/2022 15:28:51,28.75,35.94,28.75,4,3,7,4,3,Cold calling / emailing,I don’t think it has,,28.75,,,No,,No,,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/17/2022 15:31:21,103,125,85,5,5,100,1,3,Repeat business from past clients,no,103,103,,,Yes,7,No,COL + 4 percent,Male,Bachelor’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/17/2022 17:04:32,65,200,20,4,1,0,2,4,"Referrals from other mappers, Repeat business from past clients",No,65,65,65,N/A,No,0,No,,Male,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,Helped to make me feel confident in charging what I charge per hour.,Annually,
2/17/2022 18:06:32,80,150,20,4,2,30,3,3,Repeat business from past clients,NO,0,80,80,0,No,0,No,na,Female,"Master’s degree in cartography/GIS/geography, GISP certification",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/17/2022 19:13:02,20,40,0,5,4,75,3,3,"Referrals from other mappers, Repeat business from past clients, NACIS listing of custom cartography companies, Cold calling / emailing, Local connections.",Not really. ,N/A,30,30,N/A,Yes,5,No,Based on quality of work. ,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,Felt better about charging more. ,Annually,
2/17/2022 19:20:08,75,100,35,4,3,,3,2,"Repeat business from past clients, Word of mouth",,,75,75,,Yes,25,No,,Female,"Bachelor’s degree in cartography/GIS/geography, Master's of Urban and Regional Planning",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
2/17/2022 20:59:54,75,75,70,4,3,10,1,5,Repeat business from past clients,No,,75,75,80,Yes,10,No,Inflation ,Male,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,I fell into freelancing socially and recreationally. All freelancing has been word of mouth since then. 
2/17/2022 21:12:07,100,120,75,5,5,,,4,"Referrals from other mappers, Repeat business from past clients","For me, this is about the only thing the pandemic *hasn't* affected.",n/a,100,75,100,Yes,10,Yes,"I usually do it once a year, but skipped a year due to covid and other personal upheavals (international move)",Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/17/2022 23:49:35,2,5,1,1,5,90,5,3,"Referrals from other mappers, Repeat business from past clients",Yes it did because for that time when pandemic was high there was no single of work,,2,,,Yes,0,Yes,Depend on the project,Male,Bachelor’s degree in Geoinformatics,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 6 months,"My recommendation, here in Africa we need help otherwise we are the cheapest mapper and disrespected ones"
2/18/2022 2:12:57,15,20,12,3,2,15,5,3,"Repeat business from past clients, referrals from past clients",I mainly make hiking/tourism related maps. The pandemic has greatly reduced demands/funds for this work,,17,,,Yes,5,No,when my skillset improves,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Annually,I am trying to expand my freelance work. This survey is a very good ressource for me to see what to expect
