Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
3/10/2022 17:45:48,35,75,0,3,1,5,1,1,"Referrals from other mappers, Repeat business from past clients",Nope,,35,75,75,Yes,,No,When it feels right ,Male,"Master’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,Raised my rate!,Annually,
3/21/2022 21:55:08,103,135,103,5,5,100,1,3,Repeat business from past clients,No,,103,,,Yes,4,No,When I feel it's needed,Male,Bachelor’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/22/2022 5:31:51,85,100,75,4,1,4,3,4,"Repeat business from past clients, Cold calling / emailing, Social media",No,0,80,100,0,Yes,20,No,,Male,Bachelor’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/22/2022 7:38:41,50,,,5,1,1,5,1,happenstance,no impact,,50,,,No,0,No,,Male,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Every 3 years,
3/22/2022 7:51:27,70,75,60,4,1,15,3,3,"Referrals from other mappers, Personal contacts and referrences from past clients, etc",no significant impact this last year,,60,,75,Yes,20,No,"It honestly depends how scarce my time is. With a full time job, I have a lot of other time commitments, and the value of my time (to me and to others) seems to still be going up.","Male, but not all that attached to it","Ph.D. cartography/GIS/geography, I have a bachelors and PhD in planning, with an MA in geography. The PhD and MA were pretty carto-oriented but not explicitly so. ",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"My rates this year were heavily influenced by one big client who I was able to set a pretty high rate with ($90CAD/hour) for some coding-heavy interactive map work. They've kind of helped to set a bar for other client projects in my mind, which I think is a good thing. 
It also helps a LOT having a separate full-time job this year. The ability to shrug off the extra income really helps to set higher rates."
3/22/2022 12:01:04,30,30,30,4,1,5,3,3,"Social media, Personal contacts in geography world","No, I started during pandemic. But it's more of side gig than full-time. ",0,30,0,0,No,0,No,If I were to see freelance income increase to a level that would encourage using that money for anything other than business purchases. ,Female,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,N/A,Annually,
3/25/2022 15:45:03,75,100,50,4,2,25,5,1,Emails from my website plus some repeat business,The pandemic killed my previous business but allowed me to begin mapping as a side hustle,0,100,0,0,No,100,No,"Loosely based on the amount of time I've been doing mapping professionally, in years",Male,"BA in English, Certificate in graphic design (no degree in map-related fields)",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/25/2022 16:05:25,100,100,100,4,2,20,5,1,Repeat business from past clients,,,,,,Yes,20,No,,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,Thank you! 
3/28/2022 12:48:28,50,200,25,4,4,20,3,3,"Social media, word of mouth from other clients/publishers","ease of electronic communication, client comfort with zoom, etc.",,50,,,Yes,20,No,market rate/comparison,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,salary comparison with other mapmakers with similar experience. ,Annually,"Thanks for organizing this, it's an amazing resource! "
3/28/2022 13:40:41,45,65,40,3,1,10,2,3,Repeat business from past clients,"No difference, except that I did all work from home instead of working (as a freelancer) in editorial offices",0,45,0,0,Yes,2,No,General inflation ,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/28/2022 16:47:48,30,50,10,4,1,3,5,5,"Referrals from other mappers, Repeat business from past clients, Cold calling / emailing",,,30,,,No,0,No,,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/28/2022 17:05:00,120,250,100,5,3,50,5,1,Repeat business from past clients,,,120,,200,Yes,50,No,,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,I was able to charge higher amounts working for large companies in a niche industry. My rates were most often higher when tight deadlines were requested by a customer because I had to push off other work to prioritize their request.
3/28/2022 17:36:54,18,40,10,3,4,100,5,4,"Advertising, Repeat business from past clients, Social media",,20,20,30,20,Yes,8,No,The volume of work I am doing ,Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,I don’t hand draw maps or do work related with coding and provided a speculative number instead of a real one. Perhaps an option to opt out of providing a number for this section would be more accurate. 
3/29/2022 17:20:45,100,100,100,5,1,1,1,3,Repeat business from past clients,,n/a,100,n/a,n/a,No,,No,,Female,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
4/8/2022 23:58:01,75,100,50,4,5,18,2,4,"Referrals from other mappers, Repeat business from past clients, NACIS listing of custom cartography companies",I was furloughed for four months so 50% of my income in 2020 ended up being freelance. I am so grateful for all of the referrals from fellow NACIS members who helped me get enough freelance work to make ends meet. I wouldn't have survived the pandemic without freelance.,,80,100,,No,,No,"It's mostly arbitrary, but I try to raise my rate as I get more years of experience",Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,,Every 2 years,
