Timestamp,"In the last five years, what's the highest hourly rate (in USD) you've charged a client?","In the last five years, what's the lowest hourly rate (in USD) you've charged a client?","What would you say is your current average hourly rate (again, in USD)?",Do you feel that you are generally paid fairly for your time?,"Do you usually prefer to charge by the hour, or a flat rate for each project?",Do you generally sign a contract before beginning a project?,Please feel free to add additional notes/comments here about your freelance charges.,May we share your comments when publishing the results of this survey?,"How many years have you been earning money from mapmaking, either as a freelancer or otherwise?",What gender do you identify as?,In what year were you born?,In what country do you reside?,Do you consider your cartographic freelance work to be a full-time or part-time profession?,List any map-related degrees or certifications you hold
3/2/2018 15:34:33,50,20,50,3,Hourly,Sometimes,"It is very difficult to know what to charge, especially across different industries that I'm working for.  Generally,  $50/hr seems to be agreeable to most people but I'm doing very simple mapping.",Yes,8,Female,1988,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/2/2018 11:38:29,65,30,50,3,Hourly,No,I often feel that I need to lower my price or rationalize the hours I predict a project to take to convince a client of what I believe to be fair fees. It would be wonderful to know that what I'm charging is on par with other freelancers!,Yes,8,Female,1988,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography, GISP certification"
3/2/2018 13:01:08,60,20,40,4,Hourly,Sometimes,Depends greatly on the client.,Yes,8,Male,1988,United States,Full time,Bachelor's degree in cartography/GIS/geography
3/2/2018 15:18:36,65,45,45,2,Flat rate,No,"If i'm working for a non-profit that I support the mission of, i'm willing to take a lower rate. I also work a day job so all freelance work is evenings/weekends.",Yes,8,Male,1984,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/5/2018 12:55:45,140,100,135,4,Hourly,No,,No,8,Male,1969,UK,Part time,Ph.D. cartography/GIS/geography
3/2/2018 11:30:05,400,20,50,3,Flat rate,No,"$400/hr quite an outlier for my work. I wouldn't have charged such a high fee, but it's a project I inherited from someone else, and they were the ones who set the rate with the client.",Yes,9,Male,1981,United States,Part time,Master's degree in cartography/GIS/geography
3/2/2018 15:54:09,62,52,62,3,Hourly,Yes,"I have been doing this for about 5 years. I have one client and we have a standard hourly rate agreement. It is side hustle work, typically amounts to less than $2000 per year.  The client is in the education field with a limited budget, the rate was negotiated with that in mind. I guess I could charge more or find more clients, but I am not really interested in a lot of extra work in addition to my day job (if occasional work is not the kind of freelance you are asking about, I apologize, feel free to delete my entry in the survey).",Yes,10,Female,1985,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/9/2018 22:53:01,50,10,30,4,A fairly even mix of both,No,,No,10,Male,1987,United States,Part time,"Bachelor's degree in cartography/GIS/geography, GISP certification"
3/2/2018 11:50:53,31.25,20,25.625,3,A fairly even mix of both,Sometimes,,Yes,10,Male,1983,United States,Part time,Bachelor's in Geology with GIS and remote sensing graduate certificates
3/3/2018 3:36:40,80,20,40,4,Flat rate,Sometimes,,Yes,10,Male,1969,United States,Full time,
3/4/2018 20:39:28,54,40,54,3,A fairly even mix of both,Sometimes,,Yes,10,Male,1979,Canada,Full time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 12:00:44,60,40,60,4,Hourly,Sometimes,,,10,Male,1984,United States,Full time,Master's degree in cartography/GIS/geography
3/4/2018 13:17:35,120,60,100,4,A fairly even mix of both,Sometimes,"Estimating time, bidding on projects, and managing time and client expectations is often more difficult than doing the work. Glad you're digging into this.",No,10,Male,1977,United States,Part time,Ph.D. cartography/GIS/geography
